Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
WEST BAY CONDOMINIUM,"775,000",893.41,867,06 Aug 2020,50 WEST COAST CRESCENT #02-02,Resale,Strata,83,"9,337",-,Condominium,1,99 yrs from 01/03/1991,1993,Private,128035,05,12,West Region,Clementi
3 CUSCADEN,"1,940,308",462.85,"4,192",06 Aug 2020,3 CUSCADEN WALK #19-05,New Sale,Strata,43,"45,123",-,Apartment,1,Freehold,Uncompleted,Private,249690,10,24,Central Region,River Valley
THE NAUTICAL,"1,010,000","1,130.22",894,06 Aug 2020,97 JALAN SENDUDOK #03-61,Resale,Strata,105,"9,619",-,Condominium,1,99 yrs from 29/08/2011,2015,HDB,769474,27,76,North Region,Sembawang
THE BOTANIC ON LLOYD,"4,280,000","2,077.45","2,060",06 Aug 2020,35 LLOYD ROAD #02-12,Resale,Strata,193,"22,176",-,Condominium,1,Freehold,2006,Private,239126,09,23,Central Region,River Valley
ROBERTSON 100,"2,000,000","1,033.34","1,935",06 Aug 2020,100 ROBERTSON QUAY #03-03,Resale,Strata,96,"20,833",-,Apartment,1,Freehold,2004,Private,238250,09,23,Central Region,Singapore River
THE ROCHESTER RESIDENCES,"2,550,000","1,948.28","1,309",06 Aug 2020,33 ROCHESTER DRIVE #32-02,Resale,Strata,181,"14,088",-,Apartment,1,99 yrs from 02/02/2005,2011,Private,138638,05,13,Central Region,Queenstown
N.A.,"3,088,000","2,299.19","1,343",06 Aug 2020,620 EAST COAST ROAD,Resale,Land,213.6,"14,457",-,Terrace House,1,Freehold,1966,Private,459009,15,45,East Region,Bedok
ELIAS GREEN,"1,082,000","1,668.42",649,06 Aug 2020,1 ELIAS GREEN #16-03,Resale,Strata,155,"6,981",-,Condominium,1,99 yrs from 23/07/1991,1994,HDB,519959,18,51,East Region,Pasir Ris
MAYFAIR MODERN,"978,120",516.67,"1,893",06 Aug 2020,2 RIFLE RANGE ROAD #04-08,New Sale,Strata,48,"20,378",-,Condominium,1,99 yrs from 18/09/2018,Uncompleted,HDB,588373,21,58,Central Region,Bukit Timah
TREASURE AT TAMPINES,"1,179,000",850.36,"1,386",06 Aug 2020,11 TAMPINES LANE #07-46,New Sale,Strata,79,"14,924",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528480,18,52,East Region,Tampines
ESPARINA RESIDENCES,"940,000",828.83,"1,134",06 Aug 2020,127 COMPASSVALE BOW #07-34,Resale,Strata,77,"12,208",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,Private,544821,19,54,North East Region,Sengkang
HILLS TWOONE,"795,000",581.26,"1,368",06 Aug 2020,21 HILLVIEW TERRACE #04-12,Resale,Strata,54,"14,722",-,Apartment,1,Freehold,2016,HDB,669232,23,66,West Region,Bukit Batok
THE INTERWEAVE,"650,000",430.56,"1,510",06 Aug 2020,21 KIM KEAT ROAD #17-01,Resale,Strata,40,"16,250",-,Apartment,1,Freehold,2014,HDB,328805,12,32,Central Region,Novena
LUSH ACRES,"1,100,000","1,130.22",973,06 Aug 2020,5 FERNVALE CLOSE #22-10,Resale,Strata,105,"10,476",-,Executive Condominium,1,99 yrs from 13/02/2013,2016,HDB,797487,28,79,North East Region,Sengkang
GUILLEMARD EDGE,"749,000",861.12,870,06 Aug 2020,38 LORONG 30 GEYLANG #08-24,Resale,Strata,80,"9,363",-,Apartment,1,Freehold,2014,HDB,398371,14,39,Central Region,Geylang
FORESQUE RESIDENCES,"1,400,000","1,270.15","1,102",06 Aug 2020,107 PETIR ROAD #14-14,Resale,Strata,118,"11,864",-,Condominium,1,99 yrs from 10/01/2011,2014,Private,678275,23,67,West Region,Bukit Panjang
THE SANTORINI,"600,000",527.44,"1,138",06 Aug 2020,21 TAMPINES STREET 86 #01-08,Resale,Strata,49,"12,245",-,Condominium,1,99 yrs from 16/10/2013,2017,HDB,528592,18,52,East Region,Tampines
DOUBLE BAY RESIDENCES,"1,085,000","1,001.05","1,084",06 Aug 2020,17B SIMEI STREET 4 #12-09,Resale,Strata,93,"11,667",-,Condominium,1,99 yrs from 07/04/2008,2012,Private,529883,18,52,East Region,Tampines
SIMSVILLE,"900,000",968.76,929,06 Aug 2020,8 GEYLANG EAST AVENUE 2 #10-05,Resale,Strata,90,"10,000",-,Condominium,1,99 yrs from 01/12/1994,1998,HDB,389757,14,38,Central Region,Geylang
NOTTINGHILL SUITES,"620,000",398.27,"1,557",06 Aug 2020,29A TOH TUCK ROAD #02-21,Resale,Strata,37,"16,757",-,Apartment,1,Freehold,2014,HDB,596195,21,59,Central Region,Bukit Timah
SELETAR GARDEN,"2,150,000","1,897.69","1,133",06 Aug 2020,50 CACTUS ROAD,Resale,Land,176.3,"12,195",-,Terrace House,1,Freehold,1985,Private,809602,28,80,North East Region,Ang Mo Kio
THE PANORAMA,"698,000",452.09,"1,544",06 Aug 2020,16 ANG MO KIO AVENUE 2 #13-23,Resale,Strata,42,"16,619",-,Condominium,1,99 yrs from 08/04/2013,2017,Private,567699,20,56,North East Region,Ang Mo Kio
ELIAS GREEN,"1,000,000","1,517.72",659,06 Aug 2020,15 ELIAS GREEN #02-03,Resale,Strata,141,"7,092",-,Condominium,1,99 yrs from 23/07/1991,1994,Private,519966,18,51,East Region,Pasir Ris
RIVERSAILS,"645,000",645.84,999,06 Aug 2020,2 UPPER SERANGOON CRESCENT #04-06,Resale,Strata,60,"10,750",-,Condominium,1,99 yrs from 07/12/2011,2016,Private,534035,19,53,North East Region,Hougang
