Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
JADESCAPE,"2,285,000","1,420.85","1,608",01 Jan 2020,6 SHUNFU ROAD #04-25,New Sale,Strata,132,"17,311",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575744,20,57,Central Region,Bishan
VIEW AT KISMIS,"994,000",592.02,"1,679",01 Jan 2020,21 LORONG KISMIS #02-26,New Sale,Strata,55,"18,073",-,Apartment,1,99 yrs from 31/05/2019,Uncompleted,HDB,596187,21,59,Central Region,Bukit Timah
PARC CLEMATIS,"2,084,000","1,291.68","1,613",01 Jan 2020,8A JALAN LEMPENG #12-21,New Sale,Strata,120,"17,367",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128823,05,12,West Region,Clementi
PARC CLEMATIS,"2,020,000","1,291.68","1,564",01 Jan 2020,8A JALAN LEMPENG #09-20,New Sale,Strata,120,"16,833",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128823,05,12,West Region,Clementi
THE FLORENCE RESIDENCES,"1,392,000",936.47,"1,486",01 Jan 2020,97 HOUGANG AVENUE 2 #13-79,New Sale,Strata,87,"16,000",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,533753,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"734,000",516.67,"1,421",01 Jan 2020,41 HOUGANG AVENUE 7 #10-12,New Sale,Strata,48,"15,292",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,N.A,533813,19,53,North East Region,Hougang
TREASURE AT TAMPINES,"1,342,112","1,033.34","1,299",01 Jan 2020,49 TAMPINES LANE #08-170,New Sale,Strata,96,"13,980",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528461,18,52,East Region,Tampines
KENT RIDGE HILL RESIDENCES,"916,000",602.78,"1,520",01 Jan 2020,52 SOUTH BUONA VISTA ROAD #05-27,New Sale,Strata,56,"16,357",-,Apartment,1,99 yrs from 10/11/2018,Uncompleted,HDB,118168,05,11,Central Region,Queenstown
PARC CLEMATIS,"1,355,000",861.12,"1,574",01 Jan 2020,8C JALAN LEMPENG #05-34,New Sale,Strata,80,"16,938",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128825,05,12,West Region,Clementi
JADESCAPE,"1,941,600","1,151.75","1,686",01 Jan 2020,16 SHUNFU ROAD #17-61,New Sale,Strata,107,"18,146",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575749,20,57,Central Region,Bishan
THE HYDE,"2,391,000",818.06,"2,923",01 Jan 2020,11 BALMORAL ROAD #08-10,New Sale,Strata,76,"31,461",-,Condominium,1,Freehold,Uncompleted,Private,259796,10,25,Central Region,Tanglin
AVENUE SOUTH RESIDENCE,"1,732,000",947.23,"1,828",01 Jan 2020,11 SILAT AVENUE #11-36,New Sale,Strata,88,"19,682",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,HDB,168877,03,16,Central Region,Bukit Merah
MIDTOWN BAY,"1,458,400",484.38,"3,011",01 Jan 2020,122 BEACH ROAD #10-07,New Sale,Strata,45,"32,409","1,422,400",Apartment,1,99 yrs from 02/01/2018,Uncompleted,Private,189770,07,18,Central Region,Downtown Core
REZI 24,"1,047,000",699.66,"1,496",01 Jan 2020,39 LORONG 24 GEYLANG #04-04,New Sale,Strata,65,"16,108",-,Apartment,1,Freehold,Uncompleted,Private,398636,14,39,Central Region,Geylang
PARC CLEMATIS,"2,025,000","1,291.68","1,568",01 Jan 2020,8A JALAN LEMPENG #11-20,New Sale,Strata,120,"16,875",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128823,05,12,West Region,Clementi
REZI 24,"910,200",570.49,"1,595",01 Jan 2020,39 LORONG 24 GEYLANG #06-12,New Sale,Strata,53,"17,174",-,Apartment,1,Freehold,Uncompleted,N.A,398636,14,39,Central Region,Geylang
TREASURE AT TAMPINES,"920,112",678.13,"1,357",01 Jan 2020,51 TAMPINES LANE #08-177,New Sale,Strata,63,"14,605",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528460,18,52,East Region,Tampines
TROPIKA EAST,"640,000",430.56,"1,486",01 Jan 2020,1 FOO KIM LIN ROAD #03-13,Resale,Strata,40,"16,000",-,Condominium,1,Freehold,2016,HDB,419684,14,41,East Region,Bedok
JADESCAPE,"2,131,500","1,259.39","1,692",01 Jan 2020,12 SHUNFU ROAD #11-42,New Sale,Strata,117,"18,218",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,N.A,575747,20,57,Central Region,Bishan
JADESCAPE,"1,498,000",904.18,"1,657",01 Jan 2020,16 SHUNFU ROAD #06-60,New Sale,Strata,84,"17,833",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,Private,575749,20,57,Central Region,Bishan
PARC CLEMATIS,"1,395,000",914.94,"1,525",01 Jan 2020,8F JALAN LEMPENG #02-58,New Sale,Strata,85,"16,412",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,126740,05,12,West Region,Clementi
THE GARDEN RESIDENCES,"1,227,400",796.54,"1,541",01 Jan 2020,9 SERANGOON NORTH VIEW #03-42,New Sale,Strata,74,"16,586",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554347,19,55,North East Region,Serangoon
TREASURE AT TAMPINES,"901,112",678.13,"1,329",01 Jan 2020,49 TAMPINES LANE #05-168,New Sale,Strata,63,"14,303",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528461,18,52,East Region,Tampines
PARC CLEMATIS,"2,020,000","1,291.68","1,564",01 Jan 2020,8A JALAN LEMPENG #10-20,New Sale,Strata,120,"16,833",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,N.A,128823,05,12,West Region,Clementi
RIVERFRONT RESIDENCES,"735,000",516.67,"1,423",01 Jan 2020,45 HOUGANG AVENUE 7 #12-26,New Sale,Strata,48,"15,313",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,N.A,533815,19,53,North East Region,Hougang
THE ANTARES,"1,226,340",656.6,"1,868",01 Jan 2020,23 MATTAR ROAD #10-15,New Sale,Strata,61,"20,104",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,387730,14,38,Central Region,Geylang
EUHABITAT,"1,300,000","1,173.28","1,108",02 Jan 2020,202 JALAN EUNOS #05-41,Resale,Strata,109,"11,927",-,Condominium,1,99 yrs from 06/12/2010,2015,HDB,419545,14,41,East Region,Bedok
BINJAI CREST,"2,125,000","3,605.94",589,02 Jan 2020,121 JALAN KAMPONG CHANTEK,Resale,Strata,335,"6,343",-,Terrace House,1,99 yrs from 13/12/1996,2004,Private,588661,21,58,Central Region,Bukit Timah
SUITES AT BUKIT TIMAH,"998,000",947.23,"1,054",02 Jan 2020,68 JALAN JURONG KECHIL #05-08,Resale,Strata,88,"11,341",-,Apartment,1,Freehold,2014,Private,596180,21,59,Central Region,Bukit Timah
BLOSSOM RESIDENCES,"1,140,000","1,248.62",913,02 Jan 2020,34 SEGAR ROAD #11-31,Resale,Strata,116,"9,828",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,HDB,677723,23,67,West Region,Bukit Panjang
MELVILLE PARK,"905,000","1,399.32",647,02 Jan 2020,28 SIMEI STREET 1 #07-12,Resale,Strata,130,"6,962",-,Condominium,1,99 yrs from 01/09/1992,1996,Private,529948,18,52,East Region,Tampines
AQUARIUS BY THE PARK,"1,200,000","1,539.25",780,02 Jan 2020,3 BEDOK RESERVOIR VIEW #01-04,Resale,Strata,143,"8,392",-,Condominium,1,99 yrs from 12/06/1996,2000,Private,478927,16,47,East Region,Bedok
MARINA ONE RESIDENCES,"1,625,788",742.72,"2,189",02 Jan 2020,23 MARINA WAY #05-24,Resale,Strata,69,"23,562",-,Apartment,1,99 yrs from 01/07/2011,2017,HDB,018979,01,01,Central Region,Downtown Core
NORTHVALE,"720,000",721.19,998,02 Jan 2020,63 CHOA CHU KANG LOOP #11-01,Resale,Strata,67,"10,746",-,Apartment,1,99 yrs from 01/03/1995,1998,HDB,689669,23,68,West Region,Choa Chu Kang
JADESCAPE,"1,800,700","1,054.87","1,707",02 Jan 2020,6 SHUNFU ROAD #15-21,New Sale,Strata,98,"18,374",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,HDB,575744,20,57,Central Region,Bishan
N.A.,"2,350,000","2,102.21","1,118",02 Jan 2020,96 CACTUS ROAD,Resale,Land,195.3,"12,033",-,Terrace House,1,Freehold,1985,Private,809625,28,80,North East Region,Ang Mo Kio
JADESCAPE,"2,454,100","1,420.85","1,727",02 Jan 2020,6 SHUNFU ROAD #19-25,New Sale,Strata,132,"18,592",-,Condominium,1,99 yrs from 19/06/2018,Uncompleted,HDB,575744,20,57,Central Region,Bishan
THE POIZ RESIDENCES,"1,020,000",581.26,"1,755",02 Jan 2020,10 MEYAPPA CHETTIAR ROAD #15-21,Sub Sale,Strata,54,"18,889",-,Apartment,1,99 yrs from 17/11/2014,2018,HDB,358473,13,35,Central Region,Toa Payoh
CASTLE GREEN,"848,000",947.23,895,02 Jan 2020,483 YIO CHU KANG ROAD #04-08,Resale,Strata,88,"9,636",-,Condominium,1,99 yrs from 01/12/1993,1997,Private,787057,26,78,North East Region,Ang Mo Kio
THE CANOPY,"855,000","1,033.34",827,02 Jan 2020,75 YISHUN AVENUE 11 #11-09,Resale,Strata,96,"8,906",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,HDB,768860,27,76,North Region,Yishun
COCO PALMS,"650,000",462.85,"1,404",02 Jan 2020,15 PASIR RIS GROVE #12-14,Resale,Strata,43,"15,116",-,Condominium,1,99 yrs from 07/01/2008,2018,HDB,518142,18,51,East Region,Pasir Ris
AFFINITY AT SERANGOON,"1,186,000",731.95,"1,620",02 Jan 2020,30 SERANGOON NORTH AVENUE 1 #06-66,New Sale,Strata,68,"17,441",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,N.A,554342,19,55,North East Region,Serangoon
AMBER PARK,"2,426,760",947.23,"2,562",02 Jan 2020,16 AMBER GARDENS #20-04,New Sale,Strata,88,"27,577",-,Condominium,1,Freehold,Uncompleted,Private,439961,15,43,Central Region,Marine Parade
LA CASA,"830,000","1,184.04",701,02 Jan 2020,54 WOODLANDS DRIVE 16 #05-09,Resale,Strata,110,"7,545",-,Executive Condominium,1,99 yrs from 13/09/2004,2008,HDB,737899,25,73,North Region,Woodlands
MARGARET VILLE,"988,713",462.85,"2,136",02 Jan 2020,20 MARGARET DRIVE #35-05,New Sale,Strata,43,"22,993",-,Apartment,1,99 yrs from 13/03/2017,Uncompleted,N.A,149312,03,14,Central Region,Queenstown
SENGKANG GRAND RESIDENCES,"798,000",473.62,"1,685",02 Jan 2020,84 COMPASSVALE BOW #04-56,New Sale,Strata,44,"18,136",-,Apartment,1,99 yrs from 13/11/2018,Uncompleted,Private,544572,19,54,North East Region,Sengkang
RIVER ISLES,"605,000",581.26,"1,041",02 Jan 2020,60 EDGEDALE PLAINS #01-17,Resale,Strata,54,"11,204",-,Condominium,1,99 yrs from 06/02/2012,2015,HDB,828729,19,82,North East Region,Punggol
PARC ESTA,"1,076,000",635.08,"1,694",02 Jan 2020,908 SIMS AVENUE #04-36,New Sale,Strata,59,"18,237",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408970,14,40,Central Region,Geylang
PARC CLEMATIS,"1,049,000",688.9,"1,523",02 Jan 2020,8B JALAN LEMPENG #04-32,New Sale,Strata,64,"16,391",-,Apartment,1,99 yrs from 08/08/2019,Uncompleted,HDB,128824,05,12,West Region,Clementi
PARC KOMO,"1,514,000",968.76,"1,563",02 Jan 2020,967 UPPER CHANGI ROAD NORTH #05-36,New Sale,Strata,90,"16,822",-,Apartment,1,Freehold,Uncompleted,HDB,507666,17,50,East Region,Pasir Ris
BELYSA,"830,000",893.41,929,02 Jan 2020,59 PASIR RIS DRIVE 1 #16-16,Resale,Strata,83,"10,000",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,Private,519532,18,51,East Region,Pasir Ris
