Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
MIDTOWN MODERN,"1,478,070",592.02,"2,497",19 Mar 2021,16 TAN QUEE LAN STREET #08-03,New Sale,Strata,55,"26,874",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,589,940",592.02,"2,686",19 Mar 2021,16 TAN QUEE LAN STREET #17-03,New Sale,Strata,55,"28,908",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,450,350",592.02,"2,450",19 Mar 2021,16 TAN QUEE LAN STREET #06-03,New Sale,Strata,55,"26,370",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,562,220",592.02,"2,639",19 Mar 2021,16 TAN QUEE LAN STREET #15-03,New Sale,Strata,55,"28,404",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,500,840",592.02,"2,535",19 Mar 2021,16 TAN QUEE LAN STREET #10-03,New Sale,Strata,55,"27,288",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,512,720",592.02,"2,555",19 Mar 2021,16 TAN QUEE LAN STREET #11-03,New Sale,Strata,55,"27,504",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,HDB,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,524,600",592.02,"2,575",19 Mar 2021,16 TAN QUEE LAN STREET #12-03,New Sale,Strata,55,"27,720",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,HDB,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,558,260",635.08,"2,454",19 Mar 2021,16 TAN QUEE LAN STREET #09-04,New Sale,Strata,59,"26,411",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,617,660",635.08,"2,547",19 Mar 2021,16 TAN QUEE LAN STREET #14-04,New Sale,Strata,59,"27,418",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,648,350",635.08,"2,596",19 Mar 2021,16 TAN QUEE LAN STREET #05-04,New Sale,Strata,59,"27,938",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,547,370",635.08,"2,437",19 Mar 2021,16 TAN QUEE LAN STREET #08-04,New Sale,Strata,59,"26,227",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,519,650",635.08,"2,393",19 Mar 2021,16 TAN QUEE LAN STREET #06-04,New Sale,Strata,59,"25,757",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,605,780",635.08,"2,528",19 Mar 2021,16 TAN QUEE LAN STREET #13-04,New Sale,Strata,59,"27,217",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,631,520",635.08,"2,569",19 Mar 2021,16 TAN QUEE LAN STREET #15-04,New Sale,Strata,59,"27,653",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,HDB,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,530,540",635.08,"2,410",19 Mar 2021,16 TAN QUEE LAN STREET #07-04,New Sale,Strata,59,"25,941",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,638,450",635.08,"2,580",19 Mar 2021,16 TAN QUEE LAN STREET #04-04,New Sale,Strata,59,"27,770",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,593,900",635.08,"2,510",19 Mar 2021,16 TAN QUEE LAN STREET #12-04,New Sale,Strata,59,"27,015",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,633,500",635.08,"2,572",19 Mar 2021,16 TAN QUEE LAN STREET #03-04,New Sale,Strata,59,"27,686",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,582,020",635.08,"2,491",19 Mar 2021,16 TAN QUEE LAN STREET #11-04,New Sale,Strata,59,"26,814",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,Private,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,249,380",473.62,"2,638",19 Mar 2021,16 TAN QUEE LAN STREET #13-05,New Sale,Strata,44,"28,395",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
MIDTOWN MODERN,"1,225,620",473.62,"2,588",19 Mar 2021,16 TAN QUEE LAN STREET #07-05,New Sale,Strata,44,"27,855",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
