Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
TRELLIS TOWERS,"1,650,000","1,140.98","1,446",04 Dec 2020,700 LORONG 1 TOA PAYOH #24-03,Resale,Strata,106,"15,566",-,Condominium,1,Freehold,2000,HDB,319773,12,31,Central Region,Toa Payoh
LAGUNA PARK,"1,730,000","1,614.6","1,071",04 Dec 2020,5000C MARINE PARADE ROAD #23-11,Resale,Strata,150,"11,533",-,Apartment,1,99 yrs from 24/08/1977,1978,HDB,449286,15,44,East Region,Bedok
NV RESIDENCES,"750,000",871.88,860,04 Dec 2020,95 PASIR RIS GROVE #04-36,Resale,Strata,81,"9,259",-,Condominium,1,99 yrs from 07/01/2008,2013,Private,518192,18,51,East Region,Pasir Ris
THE ASANA,"2,360,000","1,033.34","2,284",04 Dec 2020,19 QUEEN'S ROAD #03-09,Resale,Strata,96,"24,583",-,Apartment,1,Freehold,2017,Private,266745,10,26,Central Region,Bukit Timah
SANT RITZ,"1,180,000",818.06,"1,442",04 Dec 2020,1 PHENG GECK AVENUE #04-22,Resale,Strata,76,"15,526",-,Condominium,1,99 yrs from 01/10/2012,2016,Private,348196,13,34,Central Region,Toa Payoh
THE RIVERVALE,"918,000","1,302.44",705,04 Dec 2020,1 RIVERVALE LINK #10-13,Resale,Strata,121,"7,587",-,Executive Condominium,1,99 yrs from 18/12/1997,2000,HDB,545118,19,54,North East Region,Sengkang
THE MADEIRA,"1,018,000","1,248.62",815,04 Dec 2020,56 BUKIT BATOK STREET 31 #21-17,Resale,Strata,116,"8,776",-,Condominium,1,99 yrs from 14/08/2000,2003,HDB,659445,23,65,West Region,Bukit Batok
HAZEL PARK CONDOMINIUM,"1,660,000","1,388.56","1,195",04 Dec 2020,21 HAZEL PARK TERRACE #11-02,Resale,Strata,129,"12,868",-,Condominium,1,999 yrs from 25/09/1882,2000,Private,678946,23,67,West Region,Bukit Panjang
IVORY HEIGHTS,"1,438,000","1,700.71",846,04 Dec 2020,117 JURONG EAST STREET 13 #04-145,Resale,Strata,158,"9,101",-,Condominium,1,100 yrs from 01/02/1986,-,Private,600117,22,60,West Region,Jurong East
ARDMORE II,"6,150,000","2,023.63","3,039",04 Dec 2020,1 ARDMORE PARK #35-01,Resale,Strata,188,"32,713",-,Condominium,1,Freehold,2010,Private,259962,10,25,Central Region,Newton
THE CREST,"3,338,000","1,625.36","2,054",04 Dec 2020,107 PRINCE CHARLES CRESCENT #02-19,Resale,Strata,151,"22,106",-,Condominium,1,99 yrs from 21/12/2012,2017,Private,159020,03,15,Central Region,Bukit Merah
